DURATION,MIX_MODE,COMPONENT_CASE,CHANNEL,FILE_MEDIAN_PROB,FILE_ERROR_AT_FIXED_HALF,VOICE_MEDIAN_PROB,VOICE_ERROR_AT_FIXED_HALF,MUSIC_MEDIAN_PROB,MUSIC_ERROR_AT_FIXED_HALF
30,real_voice,VR,g711_ulaw,0.3157977983355522,0.2,0.5016539096832275,0.5,,
30,real_voice,VR,opus_nb_8k,0.09518295899033546,0.0,0.20683780312538147,0.0,,
30,sequential_music_first,FF,clean,0.9999980926513672,0.0,0.9875716865062714,0.0,0.9991339147090912,0.0
30,sequential_music_first,FF,g711_ulaw,0.9953324198722839,0.0,0.9778997600078583,0.0,0.4244578927755356,0.6
30,sequential_music_first,FF,opus_nb_8k,0.8690517544746399,0.2,0.6632563769817352,0.4,0.021733500063419342,0.9
30,sequential_music_first,FR,clean,0.9970043897628784,0.0,0.9939565062522888,0.0,0.09233292192220688,0.0
30,sequential_music_first,FR,g711_ulaw,0.9902254343032837,0.0,0.987460196018219,0.0,0.022213070653378963,0.0
30,sequential_music_first,FR,opus_nb_8k,0.8980796635150909,0.2,0.7050611674785614,0.2,0.025509069673717022,0.1
30,sequential_music_first,RF,clean,0.9999618530273438,0.0,0.3665875196456909,0.4,0.9991439282894135,0.0
30,sequential_music_first,RF,g711_ulaw,0.7608934938907623,0.1,0.4610217660665512,0.4,0.4484836608171463,0.6
30,sequential_music_first,RF,opus_nb_8k,0.13446498289704323,0.9,0.16239265352487564,0.0,0.007718341425061226,0.9
30,sequential_music_first,RR,clean,0.3372102305293083,0.4,0.374408483505249,0.4,0.03705436922609806,0.0
30,sequential_music_first,RR,g711_ulaw,0.3093145042657852,0.3,0.48275233805179596,0.5,0.008841642178595066,0.0
30,sequential_music_first,RR,opus_nb_8k,0.10745678842067719,0.0,0.1558762565255165,0.0,0.011724004056304693,0.0
30,sequential_voice_first,FF,clean,0.9999991655349731,0.0,0.9952446222305298,0.0,0.9991559088230133,0.0
30,sequential_voice_first,FF,g711_ulaw,0.999430924654007,0.0,0.9918607771396637,0.0,0.5838227272033691,0.3
30,sequential_voice_first,FF,opus_nb_8k,0.9511064887046814,0.0,0.8701116740703583,0.2,0.13278072327375412,0.9
30,sequential_voice_first,FR,clean,0.9961836040019989,0.0,0.9953896701335907,0.0,0.03596855513751507,0.1
30,sequential_voice_first,FR,g711_ulaw,0.9810239970684052,0.0,0.9859876930713654,0.0,0.0237655658274889,0.1
30,sequential_voice_first,FR,opus_nb_8k,0.7981683313846588,0.2,0.8231281638145447,0.3,0.024043160490691662,0.0
30,sequential_voice_first,RF,clean,0.9999539256095886,0.0,0.3293490409851074,0.3,0.9985552430152893,0.0
30,sequential_voice_first,RF,g711_ulaw,0.8758816123008728,0.0,0.5027499049901962,0.5,0.4836438298225403,0.5
30,sequential_voice_first,RF,opus_nb_8k,0.2703579440712929,0.7,0.210438571870327,0.0,0.11121384799480438,1.0
30,sequential_voice_first,RR,clean,0.36911313235759735,0.2,0.3017217814922333,0.1,0.02642981894314289,0.0
30,sequential_voice_first,RR,g711_ulaw,0.29465252161026,0.4,0.36733192205429077,0.3,0.012961885891854763,0.0
30,sequential_voice_first,RR,opus_nb_8k,0.13713567703962326,0.1,0.15630898624658585,0.0,0.011786355637013912,0.0
30,sparse_music,FF,clean,0.8985178768634796,0.2,0.8808413743972778,0.2,0.027692429721355438,1.0
