DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,OVERLAP_FRACTION,0.75,MUSIC,fused15,28,13,0.2487179487179487,0.7897435897435897
factorial,OVERLAP_FRACTION,nan,FILE,v18,300,200,0.2725,0.7994499999999999
factorial,OVERLAP_FRACTION,nan,FILE,patch,300,200,0.28,0.8001250000000001
factorial,OVERLAP_FRACTION,nan,FILE,fused05,300,200,0.2525,0.8218
factorial,OVERLAP_FRACTION,nan,FILE,fused15,300,200,0.22999999999999998,0.8504
factorial,OVERLAP_FRACTION,nan,VOICE,v18,250,125,0.19999999999999998,0.851328
factorial,OVERLAP_FRACTION,nan,VOICE,patch,250,125,0.344,0.7230719999999999
factorial,OVERLAP_FRACTION,nan,VOICE,fused05,250,125,0.19999999999999998,0.851328
factorial,OVERLAP_FRACTION,nan,VOICE,fused15,250,125,0.19999999999999998,0.851328
factorial,OVERLAP_FRACTION,nan,MUSIC,v18,250,125,0.272,0.789568
factorial,OVERLAP_FRACTION,nan,MUSIC,patch,250,125,0.19999999999999998,0.866656
factorial,OVERLAP_FRACTION,nan,MUSIC,fused05,250,125,0.248,0.84192
factorial,OVERLAP_FRACTION,nan,MUSIC,fused15,250,125,0.20799999999999996,0.882944
factorial,ORDER,music_first,FILE,v18,91,68,0.30658567774936063,0.7666240409207161
factorial,ORDER,music_first,FILE,patch,91,68,0.21163682864450128,0.8868286445012789
factorial,ORDER,music_first,FILE,fused05,91,68,0.26278772378516624,0.8171355498721228
factorial,ORDER,music_first,FILE,fused15,91,68,0.1678388746803069,0.8746803069053708
factorial,ORDER,music_first,VOICE,v18,91,43,0.23086240310077516,0.8406007751937984
factorial,ORDER,music_first,VOICE,patch,91,43,0.25290697674418605,0.874031007751938
factorial,ORDER,music_first,VOICE,fused05,91,43,0.23086240310077516,0.8406007751937984
factorial,ORDER,music_first,VOICE,fused15,91,43,0.23086240310077516,0.8406007751937984
factorial,ORDER,music_first,MUSIC,v18,91,45,0.2857487922705314,0.7463768115942029
factorial,ORDER,music_first,MUSIC,patch,91,45,0.263768115942029,0.8557971014492755
factorial,ORDER,music_first,MUSIC,fused05,91,45,0.24178743961352658,0.8120772946859903
factorial,ORDER,music_first,MUSIC,fused15,91,45,0.24178743961352658,0.8700483091787439
factorial,ORDER,voice_first,FILE,v18,109,82,0.30058717253839207,0.8084914182475158
factorial,ORDER,voice_first,FILE,patch,109,82,0.25767841011743453,0.7888437217705511
factorial,ORDER,voice_first,FILE,fused05,109,82,0.2944896115627823,0.8175248419150857
factorial,ORDER,voice_first,FILE,fused15,109,82,0.25767841011743453,0.8351400180668472
factorial,ORDER,voice_first,VOICE,v18,109,57,0.22941970310391366,0.8157894736842105
factorial,ORDER,voice_first,VOICE,patch,109,57,0.3301282051282052,0.75472334682861
factorial,ORDER,voice_first,VOICE,fused05,109,57,0.22941970310391366,0.8157894736842105
factorial,ORDER,voice_first,VOICE,fused15,109,57,0.22941970310391366,0.8157894736842105
factorial,ORDER,voice_first,MUSIC,v18,109,55,0.311952861952862,0.8191919191919192
factorial,ORDER,voice_first,MUSIC,patch,109,55,0.12845117845117848,0.8910774410774411
factorial,ORDER,voice_first,MUSIC,fused05,109,55,0.25690235690235685,0.8612794612794613
factorial,ORDER,voice_first,MUSIC,fused15,109,55,0.20185185185185184,0.9003367003367003
factorial,ORDER,nan,FILE,v18,200,125,0.2653333333333333,0.8010666666666667
factorial,ORDER,nan,FILE,patch,200,125,0.2693333333333333,0.7808533333333333
factorial,ORDER,nan,FILE,fused05,200,125,0.2546666666666667,0.8207999999999999
factorial,ORDER,nan,FILE,fused15,200,125,0.24,0.84512
factorial,ORDER,nan,VOICE,v18,150,75,0.21333333333333337,0.8414222222222223
factorial,ORDER,nan,VOICE,patch,150,75,0.42666666666666664,0.6483555555555556
factorial,ORDER,nan,VOICE,fused05,150,75,0.21333333333333337,0.8414222222222223
factorial,ORDER,nan,VOICE,fused15,150,75,0.21333333333333337,0.8414222222222223
factorial,ORDER,nan,MUSIC,v18,150,75,0.28,0.835911111111111
factorial,ORDER,nan,MUSIC,patch,150,75,0.17333333333333334,0.8677333333333332
factorial,ORDER,nan,MUSIC,fused05,150,75,0.21333333333333337,0.8798222222222223
factorial,ORDER,nan,MUSIC,fused15,150,75,0.17333333333333334,0.8961777777777779
phone,CHANNEL,g711_ulaw,FILE,v18,300,175,0.1902857142857143,0.87328
phone,CHANNEL,g711_ulaw,FILE,patch,300,175,0.15314285714285714,0.9039085714285714
phone,CHANNEL,g711_ulaw,FILE,fused05,300,175,0.13657142857142857,0.9200914285714286
