DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
factorial,concurrent__voice_fake__music_fake,VOICE,fused15,25,1.0,0.7468768858781002,0.24,0.23298439096071466,0.8538132200040764,0.9641108465473525
factorial,concurrent__voice_fake__music_real,VOICE,fused15,25,1.0,0.7468768858781002,0.36,0.0669121682534439,0.8232934195751962,0.9661536810034375
factorial,concurrent__voice_real__music_fake,VOICE,fused15,25,0.0,0.7468768858781002,0.24,0.008008528689569255,0.5842592100311652,0.8999732768949601
factorial,concurrent__voice_real__music_real,VOICE,fused15,25,0.0,0.7468768858781002,0.32,0.0016304094257864157,0.485973637289899,0.892432241559473
factorial,partial_overlap__voice_fake__music_fake,VOICE,fused15,25,1.0,0.7468768858781002,0.36,0.6537681469347493,0.8413292476363053,0.9526492318554949
factorial,partial_overlap__voice_fake__music_real,VOICE,fused15,25,1.0,0.7468768858781002,0.2,0.6342721839268456,0.8561714377117268,0.9537605432057057
factorial,partial_overlap__voice_real__music_fake,VOICE,fused15,25,0.0,0.7468768858781002,0.24,0.37005220438624026,0.6275216767058731,0.8901171870484075
factorial,partial_overlap__voice_real__music_real,VOICE,fused15,25,0.0,0.7468768858781002,0.4,0.1470795772335743,0.6282095157341692,0.8919732755664673
factorial,sequential__voice_fake__music_fake,VOICE,fused15,25,1.0,0.7468768858781002,0.08,0.7875809886789245,0.8987384412690038,0.9792582306899337
factorial,sequential__voice_fake__music_real,VOICE,fused15,25,1.0,0.7468768858781002,0.24,0.55768285321728,0.850631059169326,0.9315092073383997
factorial,sequential__voice_real__music_fake,VOICE,fused15,25,0.0,0.7468768858781002,0.16,0.2717442610781901,0.49914361358905224,0.7803429355671543
factorial,sequential__voice_real__music_real,VOICE,fused15,25,0.0,0.7468768858781002,0.2,0.27899453124509194,0.57856634515249,0.7693098056553234
factorial,voice_only__voice_fake,VOICE,fused15,25,1.0,0.7468768858781002,0.08,0.8447140431673293,0.9869012522256541,0.9994035812190162
factorial,voice_only__voice_real,VOICE,fused15,25,0.0,0.7468768858781002,0.0,0.00017864864969127195,0.004762741910245366,0.11613404493937327
factorial,concurrent__voice_fake__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.2,0.46951615525290846,0.8119015027441703,0.912853846543171
factorial,concurrent__voice_fake__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.08,0.00394193025953087,0.12185745176432443,0.30454590569021533
factorial,concurrent__voice_real__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.48,0.12823318722777338,0.669830237213637,0.9078989435529133
factorial,concurrent__voice_real__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.08,0.0059642515753552585,0.13315218233912463,0.42958719500214654
factorial,music_only__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.2,0.49890276872652073,0.9280652914469113,0.963448442469391
factorial,music_only__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.24,0.026853617571450415,0.2026516374199343,0.725773544344725
factorial,partial_overlap__voice_fake__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.28,0.40741093445740306,0.8896377588153397,0.9795242147622323
factorial,partial_overlap__voice_fake__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.28,0.023703536949090515,0.2898432868209962,0.7803502099802622
factorial,partial_overlap__voice_real__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.2,0.5242696580345241,0.8514095576012466,0.9565635379451838
factorial,partial_overlap__voice_real__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.2,0.04852475663995166,0.23561449224080297,0.7145319895176309
factorial,sequential__voice_fake__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.08,0.6660606878408787,0.916981922573584,0.9621239583224628
factorial,sequential__voice_fake__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.4,0.21276182460556617,0.47172920853601785,0.8206992721405705
factorial,sequential__voice_real__music_fake,MUSIC,fused15,25,1.0,0.6456285891629744,0.08,0.6656721741320255,0.9119164584413094,0.9664619128001267
factorial,sequential__voice_real__music_real,MUSIC,fused15,25,0.0,0.6456285891629744,0.24,0.15894767199239904,0.39856725966951156,0.7865810788468882
phone,simultaneous,FILE,v18,400,0.75,0.33580630539334333,0.3525,0.12216584855177058,0.3928419830517249,0.9948372488851747
phone,source_disjoint,FILE,v18,400,0.5,0.33580630539334333,0.2825,0.088034178061233,0.27762079152814867,0.698135266302352
phone,speech_only,FILE,v18,400,0.5,0.33580630539334333,0.14,0.11289214687894007,0.9959593466254798,0.9998576705118789
phone,simultaneous,VOICE,v18,400,0.5,0.936445300011063,0.24,0.00390311916920243,0.849547217656385,0.9991570561923331
phone,speech_only,VOICE,v18,400,0.5,0.936445300011063,0.095,0.0021194691699426105,0.997785969704081,0.9999221358639689
phone,simultaneous,MUSIC,v18,400,0.5,0.187342832390679,0.4075,0.012038355834059563,0.19395227346154859,0.48582483403421883
