STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
phone_hard_router,0.075,0.3,0.8319632885911813,0.7647792207792208,0.004838709677419395,0.006898617511520803,0.19428571428571428,1.6015812190478216
phone_soft_router,0.075,0.15,0.8318918600197528,0.7630649350649351,0.004838709677419395,0.0068271889400922285,0.19999999999999998,1.5997955047621073
phone_hard_router,0.075,0.15,0.8318918600197528,0.7630649350649351,0.004838709677419395,0.0068271889400922285,0.19999999999999998,1.5997955047621073
mixed_hard_router,0.05,0.4,0.8317847171626099,0.7664935064935066,0.004838709677419395,0.006720046082949367,0.1885714285714286,1.6031169333335358
mixed_hard_router,0.075,0.15,0.8317847171626099,0.7664935064935066,0.004838709677419395,0.006720046082949367,0.1885714285714286,1.6031169333335358
mixed_hard_router,0.075,0.2,0.8317847171626099,0.7664935064935066,0.004838709677419395,0.006720046082949367,0.1885714285714286,1.6031169333335358
phone_soft_router,0.075,0.4,0.8317132885911813,0.7647792207792208,0.004838709677419395,0.0066486175115207935,0.19428571428571428,1.6013312190478215
phone_hard_router,0.075,0.4,0.8317132885911813,0.7647792207792208,0.004838709677419395,0.0066486175115207935,0.19428571428571428,1.6013312190478215
mixed_hard_router,0.4,0.1,0.8317132885911813,0.7647792207792208,0.004838709677419395,0.0066486175115207935,0.19428571428571428,1.6013312190478215
phone_soft_router,0.075,0.2,0.8316418600197527,0.7630649350649351,0.004838709677419395,0.006577188940092256,0.19999999999999998,1.5995455047621072
phone_hard_router,0.075,0.2,0.8316418600197527,0.7630649350649351,0.004838709677419395,0.006577188940092256,0.19999999999999998,1.5995455047621072
mixed_hard_router,0.025,0.2,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
mixed_hard_router,0.025,0.25,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
mixed_hard_router,0.025,0.3,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
mixed_hard_router,0.075,0.3,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
mixed_hard_router,0.075,0.4,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
phone_soft_router,0.4,0.075,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
phone_hard_router,0.4,0.075,0.8315347171626098,0.7664935064935066,0.004838709677419395,0.0064700460829493584,0.1885714285714286,1.602866933333536
mixed_hard_router,0.25,0.1,0.8314632885911813,0.7647792207792208,0.004838709677419395,0.006398617511520784,0.19428571428571428,1.6010812190478214
